datetime,cases,passengers,PYPL
2020-01-01,1.0,6099370.0,113.62
2020-02-01,69.0,5442081.0,117.02
2020-03-01,32858.0,3106845.0,99.96
2020-04-01,118408.0,206600.0,108.35
2020-05-01,68273.0,228018.0,141.56
2020-06-01,25536.0,350283.0,161.53
2020-07-01,19550.0,866655.0,177.12
2020-08-01,30505.0,1418683.0,196.73
2020-09-01,129129.0,1256479.0,188.64
2020-10-01,489241.0,1245624.0,197.85
2020-11-01,535402.0,746954.0,194.56
2020-12-01,878724.0,1143417.0,224.83
2021-01-01,1109733.0,677356.0,238.51
2021-02-01,303259.0,461188.0,272.97
2021-03-01,142272.0,541669.0,243.62
2021-04-01,63856.0,536039.0,263.42
2021-05-01,65070.0,675214.0,249.29
2021-06-01,305111.0,956689.0,274.28
2021-07-01,956797.0,1510845.0,295.33
2021-08-01,802709.0,2232326.0,275.06
2021-09-01,781008.0,2571199.0,276.58
2021-10-01,1074117.0,3043258.0,253.3
2021-11-01,1030160.0,3065774.0,206.03
2021-12-01,2827102.0,3121588.0,187.67
2022-01-01,3221318.0,2598556.0,175.56
2022-02-01,1105384.0,2863496.0,117.19
2022-03-01,1788842.0,4196656.0,107.38
2022-04-01,658696.0,5081426.0,100.82
2022-05-01,205638.0,5341351.0,81.27
2022-06-01,389928.0,5990385.0,77.48
2022-07-01,529701.0,6312156.0,76.47
2022-08-01,151860.0,6039987.0,95.38
2022-09-01,149935.0,5780445.0,91.5
2022-10-01,214133.0,5893194.0,86.0
2022-11-01,92398.0,5558659.0,81.65
2022-12-01,157644.0,5942888.0,71.17
2023-01-01,82156.0,5481889.0,78.24
2023-02-01,95682.0,5195017.0,78.15
2023-03-01,118239.0,6229634.0,73.93
2023-04-01,52156.0,6398870.0,74.23
2023-05-01,32413.0,6727259.0,64.81
2023-06-01,13274.0,7041157.0,65.15
2023-07-01,14353.0,7661782.0,71.36
2023-08-01,31439.0,7553785.0,62.46
2023-09-01,54353.0,7075530.0,60.84
2023-10-01,47210.0,6959939.0,55.06
2023-11-01,18787.0,6127427.0,55.6
2023-12-01,34194.0,6699434.0,60.53
